,Age,Attrition,DailyRate,HourlyRate,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree
0,41,1,1102,94,5993,19479,8,1,11,3,0,8,0,1,6,4,0,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,49,0,279,61,5130,24907,1,0,23,4,1,10,3,3,10,7,1,7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,37,1,1373,92,2090,2396,6,1,15,3,0,7,3,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3,33,0,1392,56,2909,23159,1,1,11,3,0,8,3,3,8,7,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
4,27,0,591,40,3468,16632,9,0,12,3,1,6,3,3,2,2,2,2,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
5,32,0,1005,79,3068,11864,0,0,13,3,0,8,2,2,7,7,3,6,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
6,59,0,1324,81,2670,9964,4,1,20,4,3,12,3,2,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7,30,0,1358,67,2693,13335,1,0,22,4,1,1,2,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
8,38,0,216,44,9526,8787,0,0,21,4,0,10,2,3,9,7,1,8,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
9,36,0,1299,94,5237,16577,6,0,13,3,2,17,3,2,7,7,7,7,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,35,0,809,84,2426,16479,0,0,13,3,1,6,5,3,5,4,0,3,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11,29,0,153,49,4193,12682,0,1,12,3,0,10,3,3,9,5,0,8,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
12,31,0,670,31,2911,15170,1,0,17,3,1,5,1,2,5,2,4,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
13,34,0,1346,93,2661,8758,0,0,11,3,1,3,2,3,2,2,1,2,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
14,28,1,103,50,2028,12947,5,1,14,3,0,6,4,3,4,2,0,3,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
15,29,0,1389,51,9980,10195,1,0,11,3,1,10,1,3,10,9,8,8,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
16,32,0,334,80,3298,15053,0,1,12,3,2,7,5,2,6,2,0,5,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
17,22,0,1123,96,2935,7324,1,1,13,3,2,1,2,2,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
18,53,0,1219,78,15427,22021,2,0,16,3,0,31,3,3,25,8,3,7,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
19,38,0,371,45,3944,4306,5,1,11,3,0,6,3,3,3,2,1,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
20,24,0,673,96,4011,8232,0,0,18,3,1,5,5,2,4,2,1,3,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
21,36,1,1218,82,3407,6986,7,0,23,4,0,10,4,3,5,3,0,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
22,34,0,419,53,11994,21293,0,0,11,3,0,13,4,3,12,6,2,11,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
23,21,0,391,96,1232,19281,1,0,14,3,0,0,6,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
24,34,1,699,83,2960,17102,2,0,11,3,0,8,2,3,4,2,1,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
25,53,0,1282,58,19094,10735,4,0,11,3,1,26,3,2,14,13,4,8,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
26,32,1,1125,72,3919,4681,1,1,22,4,0,10,5,3,10,2,6,7,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
27,42,0,691,48,6825,21173,0,0,11,3,1,10,2,3,9,7,4,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
28,44,0,477,42,10248,2094,3,0,14,3,1,24,4,3,22,6,5,17,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,46,0,705,83,18947,22822,3,0,12,3,0,22,2,2,2,2,2,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
30,33,0,924,78,2496,6670,4,0,11,3,0,7,3,3,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
31,44,0,1459,41,6465,19121,2,1,13,3,0,9,5,4,4,2,1,3,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,30,0,125,83,2206,16117,1,0,13,3,0,10,5,3,10,0,1,8,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
33,39,1,895,56,2086,3335,3,0,14,3,1,19,6,4,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
34,24,1,813,61,2293,3020,2,1,16,3,1,6,2,2,2,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
35,43,0,1273,72,2645,21923,1,0,12,3,2,6,3,2,5,3,1,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
36,50,1,869,86,2683,3810,1,1,14,3,0,3,2,3,3,2,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
37,35,0,890,97,2014,9687,1,0,13,3,0,2,3,3,2,2,2,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
38,36,0,852,82,3419,13072,9,1,14,3,1,6,3,4,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
39,33,0,1141,42,5376,3193,2,0,19,3,2,10,3,3,5,3,1,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
40,35,0,464,75,1951,10910,1,0,12,3,1,1,3,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
41,27,0,1240,33,2341,19715,1,0,13,3,1,1,6,3,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
42,26,1,1357,48,2293,10558,1,0,12,3,0,1,2,2,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
43,27,0,994,37,8726,2975,1,0,15,3,0,9,0,3,9,8,1,7,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
44,30,0,721,58,4011,10781,1,0,23,4,0,12,2,3,12,8,3,7,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
45,41,1,1360,49,19545,16280,1,0,12,3,0,23,0,3,22,15,15,8,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
46,34,0,1065,72,4568,10034,0,0,20,4,0,10,2,3,9,5,8,7,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
47,37,0,408,73,3022,10227,4,0,21,4,0,8,1,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
